Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
UVXY,1455576,0,0.00,0,0.00,2.27,1436862,18714
VIXY,981556,0,0.00,0,0.00,5.70,970808,10748
UVIX,866891,0,0.00,0,0.00,5.94,852743,14148
IEFA,812689,0,0.00,0,0.00,66.77,808308,4381
VXX,787389,0,0.00,0,0.00,28.40,782627,4762
USMV,393195,0,0.00,0,0.00,72.28,392735,460
CBOE,304097,0,0.00,0,0.00,138.35,301146,2951
ITB,287156,0,0.00,0,0.00,78.91,277273,9883
USHY,284353,0,0.00,0,0.00,35.09,276833,7520
CSM,253141,0,0.00,0,0.00,49.44,253141,0
QUAL,233158,0,0.00,0,0.00,129.33,231073,2085
ARKG,214499,0,0.00,0,0.00,33.39,212305,2194
GOVT,191100,0,0.00,0,0.00,22.96,163263,27837
AAAU,190242,0,0.00,0,0.00,19.53,186839,3403
SVXY,172256,0,0.00,0,0.00,79.49,171456,800
INDA,167330,0,0.00,0,0.00,41.85,166313,1017
EFV,137752,0,0.00,0,0.00,48.20,134283,3469
SVIX,115803,0,0.00,0,0.00,24.78,114497,1306
EZU,115208,0,0.00,0,0.00,44.22,113688,1520
IGV,115074,0,0.00,0,0.00,330.26,114969,105
VUSB,101595,0,0.00,0,0.00,48.99,101233,362
MOAT,95097,0,0.00,0,0.00,77.40,94700,397
COWZ,91608,0,0.00,0,0.00,46.65,86374,5234
ICSH,80613,0,0.00,0,0.00,50.14,80613,0
BBJP,44439,0,0.00,0,0.00,51.71,41750,2689
IDV,43165,0,0.00,0,0.00,26.46,43065,100
VNM,42875,0,0.00,0,0.00,13.01,42875,0
EEMV,42744,0,0.00,0,0.00,55.28,39950,2794
FLOT,42596,0,0.00,0,0.00,50.60,42596,0
ARKQ,41412,0,0.00,0,0.00,53.51,41376,36
ACWV,39955,0,0.00,0,0.00,96.98,38638,1317
OMFL,39694,0,0.00,0,0.00,47.52,39593,101
NOBL,38604,0,0.00,0,0.00,91.90,38304,300
PAVE,37648,0,0.00,0,0.00,29.53,34962,2686
ITA,37330,0,0.00,0,0.00,114.70,37292,38
REM,37199,0,0.00,0,0.00,22.42,37197,2
ECH,35358,0,0.00,0,0.00,29.23,32145,3213
MTUM,34739,0,0.00,0,0.00,138.06,33930,809
BBEU,33925,0,0.00,0,0.00,54.04,32474,1451
RMIF,33307,0,0.00,0,0.00,25.02,33307,0
WTAI,33137,0,0.00,0,0.00,18.72,30642,2495
BBCA,33050,0,0.00,0,0.00,60.14,29550,3500
HEFA,32800,0,0.00,0,0.00,30.55,28788,4012
VLUE,32002,0,0.00,0,0.00,91.70,31450,552
IAGG,31775,0,0.00,0,0.00,49.07,31760,15
JMST,30799,0,0.00,0,0.00,50.56,29478,1321
BUYW,30708,0,0.00,0,0.00,13.48,30708,0
EMGF,28794,0,0.00,0,0.00,41.77,25304,3490
FDG,27801,0,0.00,0,0.00,63.60,27801,0
TLTW,27097,0,0.00,0,0.00,33.19,27032,65
BOXX,26031,0,0.00,0,0.00,102.08,26031,0
ICF,25598,0,0.00,0,0.00,54.49,25598,0
HYD,25554,0,0.00,0,0.00,51.01,25432,122
NEAR,25490,0,0.00,0,0.00,49.56,25490,0
PJUN,25112,0,0.00,0,0.00,31.11,20473,4639
RDVI,24869,0,0.00,0,0.00,21.82,24769,100
XJUN,24400,0,0.00,0,0.00,33.19,24400,0
CNYA,23618,0,0.00,0,0.00,29.53,23118,500
KNG,23428,0,0.00,0,0.00,51.65,23428,0
CALF,23377,0,0.00,0,0.00,39.48,23355,22
IBHD,23084,0,0.00,0,0.00,22.99,16320,6764
IFRA,22012,0,0.00,0,0.00,38.07,22012,0
BBAX,21978,0,0.00,0,0.00,48.53,20478,1500
BUFR,21782,0,0.00,0,0.00,24.39,21782,0
EFG,21770,0,0.00,0,0.00,94.18,21770,0
EFAV,21619,0,0.00,0,0.00,67.25,21552,67
IYZ,20321,0,0.00,0,0.00,21.42,20297,24
ENOR,20006,0,0.00,0,0.00,22.31,19806,200
HEGD,19300,0,0.00,0,0.00,18.08,19300,0
SMB,19203,0,0.00,0,0.00,16.77,19203,0
ESGV,17990,0,0.00,0,0.00,75.72,17857,133
